TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
UP,9,F. Nnoruka,32.516666666666666,14.0,6.0,9.0,66.7,6.0,8.0,75.0,0.0,1.0,0.0,2.0,5.0,40.0,3.0,3.0,6.0,1.0,3.0,1.0,0.0,2.0,3.0,6.0,1,1
UP,55,J. Stevens,29.383333333333333,10.0,4.0,6.0,66.7,4.0,6.0,66.7,0.0,0.0,0.0,2.0,3.0,66.7,3.0,2.0,5.0,0.0,2.0,1.0,1.0,3.0,3.0,-6.0,1,1
UP,16,R. Remogat,23.15,6.0,2.0,9.0,22.2,0.0,3.0,0.0,2.0,6.0,33.3,0.0,0.0,0.0,1.0,3.0,4.0,3.0,4.0,1.0,0.0,2.0,3.0,-4.0,1,1
UP,8,J. Bayla,16.783333333333335,4.0,2.0,5.0,40.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-14.0,1,1
UP,19,G. Abadiano,12.2,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,-7.0,1,1
UP,18,H. Alarcon,20.433333333333334,8.0,3.0,7.0,42.9,3.0,5.0,60.0,0.0,2.0,0.0,2.0,3.0,66.7,0.0,4.0,4.0,3.0,2.0,2.0,0.0,4.0,3.0,8.0,1,1
UP,30,M. Yniguez,9.016666666666667,8.0,3.0,4.0,75.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1,1
UP,10,T. Fortea,19.1,5.0,2.0,5.0,40.0,2.0,2.0,100.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,3.0,18.0,1,1
UP,2,R. Torres,23.733333333333334,4.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,13.0,1,1
UP,13,M. Belmonte,4.266666666666667,4.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1,1
UP,77,C. Briones,4.75,3.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1,1
UP,17,M. Palanca,4.583333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,1
NU,13,N. Enriquez,20.333333333333332,16.0,5.0,13.0,38.5,3.0,9.0,33.3,2.0,4.0,50.0,4.0,5.0,80.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,5.0,9.0,1,0
NU,20,J. Figueroa,31.866666666666667,9.0,3.0,8.0,37.5,1.0,5.0,20.0,2.0,3.0,66.7,1.0,2.0,50.0,1.0,6.0,7.0,1.0,2.0,2.0,0.0,3.0,2.0,5.0,1,0
NU,7,P. Francisco,22.4,4.0,2.0,5.0,40.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,9.0,1,0
NU,18,O. John,26.883333333333333,4.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,1,0
NU,25,M. Dela Cruz,8.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1,0
NU,16,G. Santiago,15.3,10.0,3.0,5.0,60.0,2.0,2.0,100.0,1.0,3.0,33.3,3.0,5.0,60.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,-14.0,1,0
NU,5,P. Palacielo,24.6,7.0,2.0,8.0,25.0,2.0,7.0,28.6,0.0,1.0,0.0,3.0,6.0,50.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,1.0,3.0,-13.0,1,0
NU,10,J. Manansala,15.533333333333333,4.0,2.0,5.0,40.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-18.0,1,0
NU,12,R. Jumamoy,13.066666666666666,3.0,1.0,5.0,20.0,1.0,2.0,50.0,0.0,3.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,-4.0,1,0
NU,77,K. Padrones,13.783333333333333,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,-5.0,1,0
NU,11,T. Garcia,6.35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,-11.0,1,0
NU,22,M. Parks,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
