TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
ADU,3,M. Montebon,11.0,231.21666666666667,89.0,7.0,25.0,32.0,34.0,20.0,13.0,2.0,15.0,28.0,97.0,28.865979381443296,12.0,44.0,27.27272727272727,16.0,53.0,30.18867924528302,17.0,23.0,73.91304347826086,19.0,20.0,13.0,5.0
ADU,8,H. Demisana,9.0,33.13333333333333,8.0,5.0,5.0,10.0,1.0,5.0,1.0,1.0,2.0,4.0,13.0,30.76923076923077,4.0,10.0,40.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,-9.0,4.0
ADU,9,L. Perez,11.0,82.08333333333334,21.0,5.0,11.0,16.0,2.0,2.0,1.0,6.0,7.0,9.0,14.0,64.28571428571429,9.0,14.0,64.28571428571429,0.0,0.0,0.0,3.0,3.0,100.0,18.0,4.0,-7.0,5.0
ADU,10,C. Manzano,11.0,270.76666666666665,134.0,29.0,47.0,76.0,24.0,27.0,14.0,10.0,24.0,54.0,112.0,48.214285714285715,52.0,102.0,50.98039215686274,2.0,10.0,20.0,24.0,33.0,72.72727272727273,30.0,41.0,72.0,5.0
ADU,11,J. Barcelona,10.0,41.516666666666666,4.0,4.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,11.11111111111111,0.0,7.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,6.0,3.0,-15.0,5.0
ADU,15,R. Torres,11.0,182.03333333333333,110.0,5.0,16.0,21.0,14.0,14.0,5.0,0.0,5.0,38.0,90.0,42.22222222222222,23.0,45.0,51.11111111111111,15.0,45.0,33.33333333333333,19.0,22.0,86.36363636363636,12.0,19.0,19.0,5.0
ADU,18,J. Erolon,11.0,235.81666666666663,87.0,3.0,17.0,20.0,31.0,19.0,11.0,1.0,12.0,30.0,97.0,30.927835051546392,18.0,51.0,35.294117647058826,12.0,46.0,26.08695652173913,15.0,22.0,68.18181818181817,25.0,21.0,22.0,5.0
ADU,19,J. Jaymalin,9.0,23.116666666666667,5.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,5.0,20.0,0.0,1.0,0.0,1.0,4.0,25.0,2.0,2.0,100.0,5.0,1.0,3.0,4.0
ADU,20,E. Anabo,11.0,225.51666666666668,60.0,22.0,45.0,67.0,27.0,15.0,17.0,1.0,18.0,16.0,58.0,27.586206896551722,5.0,17.0,29.411764705882355,11.0,41.0,26.82926829268293,17.0,31.0,54.83870967741935,18.0,27.0,-3.0,5.0
ADU,21,J. Medina,11.0,228.95,58.0,6.0,25.0,31.0,8.0,5.0,8.0,5.0,13.0,22.0,71.0,30.985915492957744,11.0,25.0,44.0,11.0,46.0,23.91304347826087,3.0,4.0,75.0,15.0,14.0,-9.0,5.0
ADU,23,M. Ojarikre,11.0,241.44999999999996,43.0,37.0,57.0,94.0,6.0,13.0,4.0,17.0,21.0,18.0,36.0,50.0,18.0,36.0,50.0,0.0,0.0,0.0,7.0,18.0,38.88888888888889,26.0,18.0,-33.0,5.0
ADU,25,K. Cañete,8.0,18.766666666666666,8.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0,5.0,60.0,1.0,1.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,5.0,0.0,-10.0,4.0
ADU,27,A. Fransman,11.0,171.5,62.0,12.0,39.0,51.0,12.0,19.0,6.0,2.0,8.0,19.0,73.0,26.027397260273972,11.0,41.0,26.82926829268293,8.0,32.0,25.0,16.0,22.0,72.72727272727273,13.0,14.0,-36.0,5.0
ADU,30,C. Ronzone,9.0,30.48333333333333,1.0,1.0,3.0,4.0,3.0,5.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,4.0,2.0,-16.0,4.0
ADU,32,A. Ronzone,11.0,183.66666666666666,28.0,8.0,13.0,21.0,7.0,7.0,7.0,1.0,8.0,10.0,30.0,33.33333333333333,5.0,9.0,55.55555555555556,5.0,21.0,23.809523809523807,3.0,4.0,75.0,22.0,4.0,6.0,5.0
ADU,33,J. Tumaneng,10.0,48.71666666666666,6.0,3.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,33.33333333333333,2.0,6.0,33.33333333333333,0.0,0.0,0.0,2.0,5.0,40.0,5.0,4.0,-2.0,4.0
