TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
ATENEO,1,K. Ladi,12.0,366.01666666666665,174.0,27.0,60.0,87.0,19.0,18.0,8.0,7.0,15.0,62.0,173.0,35.83815028901734,43.0,99.0,43.43434343434344,19.0,74.0,25.675675675675674,31.0,36.0,86.11111111111111,27.0,38.0,7.0,5.0
ATENEO,2,K. Gamber,5.0,22.433333333333337,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,14.285714285714285,0.0,3.0,0.0,1.0,4.0,25.0,0.0,0.0,0.0,3.0,0.0,-8.0,3.0
ATENEO,3,A. Bongo,12.0,222.61666666666667,31.0,12.0,20.0,32.0,11.0,5.0,6.0,1.0,7.0,10.0,49.0,20.408163265306122,7.0,16.0,43.75,3.0,33.0,9.090909090909092,8.0,12.0,66.66666666666666,23.0,15.0,-19.0,5.0
ATENEO,7,I. Espinosa,12.0,184.25,79.0,6.0,17.0,23.0,20.0,13.0,6.0,0.0,6.0,22.0,73.0,30.136986301369863,14.0,45.0,31.11111111111111,8.0,28.0,28.57142857142857,27.0,35.0,77.14285714285715,29.0,34.0,-20.0,5.0
ATENEO,9,J. Bahay,11.0,247.68333333333337,86.0,4.0,26.0,30.0,45.0,14.0,17.0,0.0,17.0,25.0,92.0,27.173913043478258,5.0,28.0,17.857142857142858,20.0,64.0,31.25,16.0,19.0,84.21052631578947,20.0,27.0,-13.0,5.0
ATENEO,10,S. Tuano,12.0,262.29999999999995,102.0,17.0,17.0,34.0,25.0,18.0,7.0,2.0,9.0,34.0,86.0,39.53488372093023,32.0,73.0,43.83561643835616,2.0,13.0,15.384615384615385,32.0,49.0,65.3061224489796,19.0,37.0,-48.0,5.0
ATENEO,14,D. Adili,9.0,214.31666666666663,73.0,26.0,49.0,75.0,7.0,16.0,6.0,4.0,10.0,32.0,77.0,41.55844155844156,32.0,76.0,42.10526315789473,0.0,1.0,0.0,9.0,21.0,42.857142857142854,28.0,25.0,-4.0,5.0
ATENEO,15,J. Lazo,12.0,184.50000000000003,67.0,2.0,10.0,12.0,13.0,9.0,10.0,1.0,11.0,24.0,61.0,39.34426229508197,9.0,14.0,64.28571428571429,15.0,47.0,31.914893617021278,4.0,8.0,50.0,17.0,10.0,32.0,5.0
ATENEO,16,J. Lazaro,12.0,216.15,46.0,18.0,31.0,49.0,10.0,5.0,5.0,2.0,7.0,19.0,65.0,29.230769230769234,18.0,63.0,28.57142857142857,1.0,2.0,50.0,7.0,13.0,53.84615384615385,24.0,14.0,-31.0,5.0
ATENEO,18,T. Ebdane,1.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ATENEO,19,J. Espina,2.0,44.0,22.0,1.0,6.0,7.0,6.0,1.0,1.0,0.0,1.0,8.0,15.0,53.333333333333336,3.0,6.0,50.0,5.0,9.0,55.55555555555556,1.0,4.0,25.0,1.0,3.0,3.0,2.0
ATENEO,19,W. Espina,10.0,173.66666666666666,38.0,12.0,11.0,23.0,11.0,10.0,7.0,2.0,9.0,17.0,45.0,37.77777777777778,15.0,26.0,57.692307692307686,2.0,19.0,10.526315789473683,2.0,4.0,50.0,13.0,13.0,-15.0,3.0
ATENEO,22,K. Ong,5.0,19.28333333333333,3.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,16.666666666666664,1.0,4.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,3.0
ATENEO,23,L. Nieto,4.0,10.7,2.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,-4.0,2.0
ATENEO,24,D. Escobar,12.0,318.2,123.0,30.0,58.0,88.0,34.0,14.0,26.0,2.0,28.0,44.0,117.0,37.60683760683761,38.0,89.0,42.69662921348314,6.0,28.0,21.428571428571427,29.0,49.0,59.183673469387756,33.0,36.0,-16.0,5.0
ATENEO,25,A. Cainglet,1.0,0.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ATENEO,30,L. Fjellvang,8.0,36.16666666666667,11.0,2.0,4.0,6.0,0.0,4.0,2.0,0.0,2.0,4.0,8.0,50.0,2.0,4.0,50.0,2.0,4.0,50.0,1.0,2.0,50.0,10.0,2.0,-4.0,3.0
