TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
FEU,3,J. Bautista,14.0,410.04999999999984,205.0,8.0,27.0,35.0,27.0,22.0,14.0,2.0,16.0,70.0,166.0,42.168674698795186,36.0,72.0,50.0,34.0,94.0,36.17021276595745,31.0,44.0,70.45454545454545,30.0,46.0,10.0,7.0
FEU,4,A. Macapagal,10.0,22.299999999999997,2.0,3.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-4.0,6.0
FEU,5,J. Daa,13.0,249.35000000000002,64.0,19.0,22.0,41.0,11.0,9.0,13.0,1.0,14.0,24.0,53.0,45.28301886792453,19.0,35.0,54.285714285714285,5.0,18.0,27.77777777777778,11.0,22.0,50.0,21.0,16.0,48.0,6.0
FEU,6,N. Owens,14.0,313.3166666666667,75.0,13.0,22.0,35.0,10.0,13.0,6.0,0.0,6.0,22.0,69.0,31.88405797101449,9.0,19.0,47.368421052631575,13.0,50.0,26.0,18.0,21.0,85.71428571428571,28.0,15.0,-90.0,7.0
FEU,10,R. Montemayor,13.0,131.6833333333333,35.0,5.0,13.0,18.0,2.0,2.0,5.0,0.0,5.0,14.0,32.0,43.75,11.0,19.0,57.89473684210527,3.0,13.0,23.076923076923077,4.0,9.0,44.44444444444444,18.0,6.0,3.0,7.0
FEU,11,J. Jones,9.0,39.53333333333333,6.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,33.33333333333333,1.0,4.0,25.0,1.0,2.0,50.0,1.0,2.0,50.0,7.0,2.0,-2.0,6.0
FEU,13,J. Pasaol,14.0,420.6666666666667,216.0,9.0,49.0,58.0,105.0,49.0,30.0,6.0,36.0,77.0,199.0,38.69346733668342,65.0,145.0,44.827586206896555,12.0,54.0,22.22222222222222,50.0,72.0,69.44444444444444,23.0,66.0,40.0,7.0
FEU,15,A. Bagunu,7.0,11.499999999999996,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,3.0
FEU,21,A. Nakai,2.0,3.8,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0
FEU,24,L. Salangsang,8.0,55.116666666666674,15.0,3.0,3.0,6.0,8.0,5.0,3.0,0.0,3.0,5.0,22.0,22.727272727272727,4.0,9.0,44.44444444444444,1.0,13.0,7.6923076923076925,4.0,6.0,66.66666666666666,10.0,6.0,-22.0,3.0
FEU,25,C. Amos,1.0,2.0166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FEU,27,M. Ona,14.0,97.16666666666669,18.0,12.0,5.0,17.0,3.0,4.0,1.0,1.0,2.0,9.0,16.0,56.25,9.0,14.0,64.28571428571429,0.0,2.0,0.0,0.0,2.0,0.0,24.0,1.0,-31.0,7.0
FEU,31,K. Mongcopa,14.0,393.76666666666665,165.0,37.0,81.0,118.0,44.0,38.0,12.0,17.0,29.0,65.0,175.0,37.142857142857146,50.0,118.0,42.3728813559322,15.0,57.0,26.31578947368421,20.0,32.0,62.5,29.0,40.0,7.0,7.0
FEU,35,M. Konateh,14.0,499.58333333333337,196.0,65.0,123.0,188.0,27.0,43.0,14.0,29.0,43.0,77.0,145.0,53.103448275862064,77.0,142.0,54.22535211267606,0.0,3.0,0.0,42.0,66.0,63.63636363636363,41.0,67.0,-13.0,7.0
FEU,72,L. Felipe,13.0,198.91666666666666,64.0,10.0,24.0,34.0,6.0,5.0,4.0,5.0,9.0,22.0,59.0,37.28813559322034,6.0,20.0,30.0,16.0,39.0,41.02564102564102,4.0,4.0,100.0,10.0,4.0,-2.0,7.0
