TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
LA SALLE,0,G. Quines,5.0,20.566666666666663,9.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,8.0,50.0,3.0,7.0,42.857142857142854,1.0,1.0,100.0,0.0,0.0,0.0,3.0,2.0,-15.0,2.0
LA SALLE,1,J. Macalalag,8.0,204.85,55.0,11.0,8.0,19.0,21.0,7.0,9.0,1.0,10.0,17.0,54.0,31.48148148148148,11.0,39.0,28.205128205128204,6.0,15.0,40.0,15.0,20.0,75.0,16.0,18.0,33.0,5.0
LA SALLE,2,V. Marasigan,10.0,120.05,50.0,11.0,17.0,28.0,11.0,8.0,5.0,1.0,6.0,15.0,38.0,39.473684210526315,13.0,26.0,50.0,2.0,12.0,16.666666666666664,18.0,32.0,56.25,18.0,17.0,13.0,6.0
LA SALLE,6,R. Melencio,5.0,31.333333333333332,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,9.0,11.11111111111111,1.0,5.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,-10.0,3.0
LA SALLE,7,E. Abadam,11.0,232.03333333333336,94.0,12.0,25.0,37.0,12.0,15.0,6.0,1.0,7.0,36.0,96.0,37.5,24.0,53.0,45.28301886792453,12.0,43.0,27.906976744186046,10.0,16.0,62.5,21.0,17.0,21.0,6.0
LA SALLE,9,L. Pablo,11.0,211.16666666666669,82.0,17.0,34.0,51.0,11.0,7.0,6.0,8.0,14.0,32.0,64.0,50.0,31.0,61.0,50.81967213114754,1.0,3.0,33.33333333333333,17.0,34.0,50.0,24.0,24.0,-19.0,6.0
LA SALLE,11,J. Cortez,11.0,320.51666666666665,160.0,6.0,28.0,34.0,42.0,27.0,16.0,1.0,17.0,58.0,140.0,41.42857142857143,49.0,97.0,50.51546391752577,9.0,43.0,20.930232558139537,35.0,48.0,72.91666666666666,20.0,43.0,16.0,6.0
LA SALLE,13,K. Baclaan,5.0,109.56666666666666,51.0,6.0,10.0,16.0,21.0,14.0,4.0,0.0,4.0,19.0,55.0,34.54545454545455,14.0,32.0,43.75,5.0,23.0,21.73913043478261,8.0,14.0,57.14285714285714,8.0,12.0,5.0,2.0
LA SALLE,18,D. Dagdag,1.0,1.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0
LA SALLE,19,D. Dungo,11.0,139.45,59.0,4.0,12.0,16.0,8.0,3.0,1.0,0.0,1.0,20.0,56.0,35.714285714285715,11.0,25.0,44.0,9.0,31.0,29.03225806451613,10.0,14.0,71.42857142857143,14.0,8.0,-32.0,6.0
LA SALLE,21,M. Amos,5.0,123.88333333333334,42.0,3.0,11.0,14.0,16.0,6.0,5.0,2.0,7.0,15.0,36.0,41.66666666666667,8.0,15.0,53.333333333333336,7.0,21.0,33.33333333333333,5.0,5.0,100.0,8.0,9.0,7.0,2.0
LA SALLE,22,B. Nwankwo,9.0,58.83333333333333,13.0,5.0,5.0,10.0,1.0,2.0,1.0,4.0,5.0,6.0,11.0,54.54545454545454,6.0,11.0,54.54545454545454,0.0,0.0,0.0,1.0,4.0,25.0,21.0,4.0,-12.0,5.0
LA SALLE,25,M. Phillips,11.0,322.45,138.0,65.0,99.0,164.0,37.0,27.0,15.0,8.0,23.0,51.0,112.0,45.535714285714285,50.0,107.0,46.728971962616825,1.0,5.0,20.0,35.0,73.0,47.94520547945205,38.0,65.0,47.0,6.0
LA SALLE,32,E. Gollena,11.0,203.9,72.0,17.0,19.0,36.0,6.0,10.0,5.0,1.0,6.0,29.0,56.0,51.78571428571429,24.0,40.0,60.0,5.0,16.0,31.25,9.0,17.0,52.94117647058824,18.0,17.0,-18.0,6.0
LA SALLE,34,L. Daep,10.0,110.25000000000004,37.0,6.0,16.0,22.0,4.0,6.0,6.0,1.0,7.0,11.0,29.0,37.93103448275862,9.0,20.0,45.0,2.0,9.0,22.22222222222222,13.0,19.0,68.42105263157895,8.0,17.0,-34.0,6.0
LA SALLE,99,G. Gomez,4.0,13.55,9.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,66.66666666666666,1.0,2.0,50.0,1.0,1.0,100.0,4.0,4.0,100.0,3.0,3.0,-1.0,2.0
