TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
NU,5,P. Palacielo,10.0,158.0333333333333,72.0,8.0,18.0,26.0,17.0,22.0,0.0,4.0,4.0,31.0,62.0,50.0,31.0,59.0,52.54237288135594,0.0,3.0,0.0,10.0,17.0,58.82352941176471,26.0,17.0,-13.0,8.0
NU,7,P. Francisco,10.0,194.7,88.0,1.0,15.0,16.0,12.0,9.0,18.0,0.0,18.0,30.0,60.0,50.0,17.0,33.0,51.515151515151516,13.0,27.0,48.148148148148145,15.0,17.0,88.23529411764706,25.0,15.0,77.0,8.0
NU,9,V. Reyes,4.0,4.566666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,3.0
NU,10,J. Manansala,10.0,186.48333333333332,60.0,14.0,31.0,45.0,12.0,18.0,6.0,4.0,10.0,22.0,51.0,43.13725490196079,22.0,38.0,57.89473684210527,0.0,13.0,0.0,16.0,28.0,57.14285714285714,16.0,21.0,-1.0,8.0
NU,11,T. Garcia,10.0,97.28333333333332,27.0,5.0,5.0,10.0,16.0,14.0,4.0,1.0,5.0,12.0,30.0,40.0,11.0,28.0,39.285714285714285,1.0,2.0,50.0,2.0,4.0,50.0,13.0,8.0,-15.0,8.0
NU,12,R. Jumamoy,9.0,113.75,34.0,6.0,12.0,18.0,9.0,10.0,5.0,0.0,5.0,12.0,41.0,29.268292682926827,5.0,19.0,26.31578947368421,7.0,22.0,31.818181818181817,3.0,4.0,75.0,12.0,10.0,34.0,8.0
NU,13,N. Enriquez,10.0,201.33333333333331,75.0,1.0,13.0,14.0,21.0,9.0,12.0,2.0,14.0,27.0,64.0,42.1875,12.0,35.0,34.285714285714285,15.0,29.0,51.724137931034484,6.0,7.0,85.71428571428571,9.0,9.0,59.0,8.0
NU,14,J. Solomon,4.0,9.15,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.33333333333333,1.0,3.0,33.33333333333333,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,-6.0,3.0
NU,16,G. Santiago,9.0,139.85,58.0,5.0,11.0,16.0,6.0,9.0,10.0,0.0,10.0,16.0,47.0,34.04255319148936,10.0,24.0,41.66666666666667,6.0,23.0,26.08695652173913,20.0,29.0,68.96551724137932,26.0,23.0,-19.0,7.0
NU,18,O. John,10.0,278.70000000000005,77.0,16.0,57.0,73.0,9.0,20.0,8.0,10.0,18.0,35.0,62.0,56.451612903225815,35.0,61.0,57.377049180327866,0.0,1.0,0.0,7.0,13.0,53.84615384615385,27.0,24.0,75.0,8.0
NU,20,J. Figueroa,10.0,336.2333333333333,148.0,9.0,73.0,82.0,39.0,33.0,24.0,12.0,36.0,51.0,125.0,40.8,44.0,95.0,46.31578947368421,7.0,30.0,23.333333333333332,39.0,53.0,73.58490566037736,26.0,45.0,92.0,8.0
NU,22,M. Parks,10.0,87.35000000000001,36.0,5.0,9.0,14.0,2.0,3.0,6.0,0.0,6.0,14.0,23.0,60.86956521739131,8.0,10.0,80.0,6.0,13.0,46.15384615384615,2.0,4.0,50.0,7.0,4.0,15.0,8.0
NU,24,N. Tulabut,6.0,18.516666666666666,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,6.0
NU,25,M. Dela Cruz,10.0,95.78333333333332,8.0,5.0,9.0,14.0,6.0,6.0,3.0,0.0,3.0,2.0,9.0,22.22222222222222,2.0,9.0,22.22222222222222,0.0,0.0,0.0,4.0,8.0,50.0,21.0,6.0,18.0,8.0
NU,42,J. Navarro,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0
NU,77,K. Padrones,10.0,100.86666666666666,30.0,17.0,15.0,32.0,5.0,7.0,2.0,1.0,3.0,13.0,29.0,44.827586206896555,13.0,27.0,48.148148148148145,0.0,2.0,0.0,4.0,8.0,50.0,22.0,10.0,5.0,8.0
