TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
UE,0,J. Datumalim,12.0,159.63333333333335,53.0,5.0,8.0,13.0,3.0,12.0,7.0,2.0,9.0,21.0,51.0,41.17647058823529,14.0,33.0,42.42424242424242,7.0,18.0,38.88888888888889,4.0,9.0,44.44444444444444,28.0,9.0,-78.0,0.0
UE,1,N. Mulingtapang,11.0,175.06666666666666,42.0,8.0,10.0,18.0,24.0,13.0,3.0,0.0,3.0,13.0,38.0,34.21052631578947,10.0,28.0,35.714285714285715,3.0,10.0,30.0,13.0,20.0,65.0,23.0,24.0,-51.0,0.0
UE,2,M. Tanedo,12.0,110.18333333333332,30.0,7.0,7.0,14.0,16.0,6.0,4.0,0.0,4.0,8.0,31.0,25.806451612903224,4.0,21.0,19.047619047619047,4.0,10.0,40.0,10.0,18.0,55.55555555555556,13.0,14.0,-35.0,0.0
UE,3,C. Cruz Dumont,10.0,115.76666666666664,35.0,7.0,9.0,16.0,3.0,7.0,6.0,1.0,7.0,12.0,25.0,48.0,6.0,11.0,54.54545454545454,6.0,14.0,42.857142857142854,5.0,6.0,83.33333333333334,7.0,5.0,-11.0,0.0
UE,4,T. Lagat,13.0,183.33333333333337,88.0,4.0,15.0,19.0,4.0,12.0,4.0,1.0,5.0,30.0,93.0,32.25806451612903,24.0,55.0,43.63636363636363,6.0,38.0,15.789473684210526,22.0,25.0,88.0,21.0,14.0,-57.0,0.0
UE,5,D. Caoile,11.0,190.36666666666665,61.0,5.0,17.0,22.0,23.0,14.0,10.0,0.0,10.0,22.0,62.0,35.483870967741936,16.0,33.0,48.484848484848484,6.0,29.0,20.689655172413794,11.0,14.0,78.57142857142857,15.0,13.0,-64.0,0.0
UE,7,W. Lingolingo,10.0,281.19999999999993,145.0,10.0,34.0,44.0,19.0,23.0,9.0,3.0,12.0,45.0,134.0,33.582089552238806,27.0,65.0,41.53846153846154,18.0,69.0,26.08695652173913,37.0,42.0,88.09523809523809,28.0,31.0,3.0,0.0
UE,8,D. Robles,14.0,262.98333333333335,43.0,10.0,22.0,32.0,7.0,4.0,12.0,6.0,18.0,18.0,50.0,36.0,15.0,39.0,38.46153846153847,3.0,11.0,27.27272727272727,4.0,5.0,80.0,37.0,9.0,-41.0,0.0
UE,9,M. Cabero,6.0,50.18333333333334,6.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,37.5,3.0,8.0,37.5,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,-24.0,0.0
UE,11,J. Abate,10.0,331.9666666666667,162.0,4.0,42.0,46.0,43.0,30.0,19.0,2.0,21.0,59.0,131.0,45.038167938931295,35.0,63.0,55.55555555555556,24.0,68.0,35.294117647058826,20.0,33.0,60.60606060606061,30.0,32.0,-68.0,0.0
UE,13,J. Distrito,3.0,19.516666666666666,5.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,14.285714285714285,0.0,3.0,0.0,1.0,4.0,25.0,2.0,8.0,25.0,5.0,6.0,-11.0,0.0
UE,15,T. Malaga,13.0,110.18333333333332,23.0,7.0,11.0,18.0,2.0,3.0,2.0,5.0,7.0,9.0,26.0,34.61538461538461,8.0,21.0,38.095238095238095,1.0,5.0,20.0,4.0,9.0,44.44444444444444,22.0,9.0,-59.0,0.0
UE,18,D. Despi,11.0,196.05,67.0,6.0,16.0,22.0,32.0,17.0,12.0,0.0,12.0,25.0,57.0,43.859649122807014,22.0,44.0,50.0,3.0,13.0,23.076923076923077,14.0,17.0,82.35294117647058,12.0,27.0,-60.0,0.0
UE,21,M. Rosete,6.0,18.383333333333336,3.0,1.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0,1.0,0.0,0.0
UE,24,J. Jimenez,11.0,122.61666666666667,49.0,8.0,10.0,18.0,3.0,4.0,2.0,1.0,3.0,23.0,41.0,56.09756097560976,23.0,38.0,60.526315789473685,0.0,3.0,0.0,3.0,4.0,75.0,10.0,4.0,-11.0,0.0
UE,35,P. Momowei,14.0,496.34999999999985,235.0,55.0,138.0,193.0,35.0,52.0,21.0,20.0,41.0,88.0,166.0,53.01204819277109,87.0,160.0,54.37499999999999,1.0,6.0,16.666666666666664,58.0,116.0,50.0,46.0,103.0,-116.0,0.0
