TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
UP,2,R. Torres,10.0,151.38333333333335,47.0,9.0,22.0,31.0,5.0,9.0,8.0,1.0,9.0,18.0,41.0,43.90243902439025,15.0,25.0,60.0,3.0,16.0,18.75,8.0,11.0,72.72727272727273,17.0,15.0,-5.0,7.0
UP,8,J. Bayla,10.0,210.2833333333333,52.0,7.0,17.0,24.0,14.0,3.0,14.0,3.0,17.0,23.0,48.0,47.91666666666667,23.0,41.0,56.09756097560976,0.0,7.0,0.0,6.0,11.0,54.54545454545454,24.0,14.0,37.0,7.0
UP,9,F. Nnoruka,10.0,245.20000000000002,113.0,26.0,55.0,81.0,10.0,23.0,11.0,14.0,25.0,41.0,81.0,50.617283950617285,41.0,79.0,51.89873417721519,0.0,2.0,0.0,31.0,47.0,65.95744680851064,31.0,37.0,45.0,7.0
UP,10,T. Fortea,10.0,158.31666666666666,49.0,1.0,10.0,11.0,18.0,10.0,5.0,1.0,6.0,15.0,47.0,31.914893617021278,7.0,18.0,38.88888888888889,8.0,29.0,27.586206896551722,11.0,14.0,78.57142857142857,10.0,12.0,56.0,7.0
UP,13,M. Belmonte,9.0,91.68333333333334,42.0,6.0,19.0,25.0,5.0,7.0,1.0,0.0,1.0,16.0,34.0,47.05882352941176,11.0,19.0,57.89473684210527,5.0,15.0,33.33333333333333,5.0,5.0,100.0,18.0,7.0,-2.0,6.0
UP,16,R. Remogat,10.0,239.38333333333335,109.0,10.0,28.0,38.0,44.0,26.0,13.0,0.0,13.0,39.0,96.0,40.625,13.0,27.0,48.148148148148145,26.0,69.0,37.68115942028986,5.0,7.0,71.42857142857143,17.0,15.0,2.0,7.0
UP,17,M. Palanca,10.0,75.56666666666668,25.0,11.0,13.0,24.0,0.0,2.0,4.0,1.0,5.0,6.0,13.0,46.15384615384615,6.0,13.0,46.15384615384615,0.0,0.0,0.0,13.0,20.0,65.0,14.0,12.0,1.0,7.0
UP,18,H. Alarcon,10.0,236.04999999999995,128.0,6.0,36.0,42.0,36.0,20.0,16.0,0.0,16.0,44.0,117.0,37.60683760683761,36.0,80.0,45.0,8.0,37.0,21.62162162162162,32.0,42.0,76.19047619047619,23.0,37.0,-2.0,7.0
UP,19,G. Abadiano,10.0,169.23333333333335,61.0,1.0,12.0,13.0,15.0,9.0,5.0,0.0,5.0,23.0,58.0,39.6551724137931,17.0,34.0,50.0,6.0,24.0,25.0,9.0,13.0,69.23076923076923,23.0,22.0,-3.0,7.0
UP,20,E. Felicida,3.0,33.233333333333334,7.0,1.0,2.0,3.0,6.0,4.0,3.0,0.0,3.0,3.0,6.0,50.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
UP,27,J. Andres,1.0,3.3166666666666664,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
UP,30,M. Yniguez,9.0,102.66666666666667,27.0,4.0,15.0,19.0,1.0,6.0,1.0,1.0,2.0,10.0,30.0,33.33333333333333,5.0,12.0,41.66666666666667,5.0,18.0,27.77777777777778,2.0,2.0,100.0,9.0,3.0,47.0,7.0
UP,33,S. Alter,9.0,48.5,6.0,4.0,2.0,6.0,3.0,4.0,0.0,1.0,1.0,3.0,8.0,37.5,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,19.0,6.0
UP,34,J. Coronel,1.0,1.7166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,1.0
UP,55,J. Stevens,10.0,204.39999999999998,84.0,30.0,18.0,48.0,8.0,15.0,9.0,2.0,11.0,35.0,66.0,53.03030303030303,35.0,66.0,53.03030303030303,0.0,0.0,0.0,14.0,25.0,56.00000000000001,33.0,22.0,-21.0,7.0
UP,77,C. Briones,8.0,28.06666666666667,9.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,4.0,10.0,40.0,3.0,5.0,60.0,1.0,5.0,20.0,0.0,0.0,0.0,4.0,0.0,-7.0,6.0
