TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
UST,1,L. Estacio,12.0,108.86666666666667,16.0,2.0,13.0,15.0,6.0,2.0,3.0,0.0,3.0,6.0,22.0,27.27272727272727,2.0,7.0,28.57142857142857,4.0,15.0,26.666666666666668,0.0,9.0,0.0,7.0,8.0,9.0,7.0
UST,2,I. Calum,12.0,85.45,25.0,3.0,4.0,7.0,5.0,10.0,4.0,0.0,4.0,11.0,18.0,61.111111111111114,11.0,17.0,64.70588235294117,0.0,1.0,0.0,3.0,6.0,50.0,10.0,10.0,12.0,7.0
UST,3,K. Paranada,12.0,232.4666666666667,93.0,4.0,14.0,18.0,34.0,24.0,8.0,0.0,8.0,27.0,71.0,38.028169014084504,17.0,40.0,42.5,10.0,31.0,32.25806451612903,29.0,37.0,78.37837837837837,12.0,30.0,53.0,7.0
UST,8,C. Bucsit,5.0,17.233333333333334,3.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
UST,9,N. Cabanero,12.0,382.66666666666674,209.0,25.0,47.0,72.0,33.0,27.0,14.0,1.0,15.0,84.0,190.0,44.21052631578947,76.0,144.0,52.77777777777778,8.0,46.0,17.391304347826086,33.0,57.0,57.89473684210527,30.0,42.0,46.0,7.0
UST,10,G. Crisostomo,12.0,277.3166666666667,107.0,26.0,53.0,79.0,20.0,16.0,14.0,13.0,27.0,41.0,92.0,44.565217391304344,26.0,53.0,49.056603773584904,15.0,39.0,38.46153846153847,10.0,16.0,62.5,30.0,14.0,31.0,7.0
UST,11,F. Padrigao,11.0,274.46666666666664,114.0,6.0,22.0,28.0,57.0,27.0,17.0,1.0,18.0,33.0,113.0,29.20353982300885,12.0,34.0,35.294117647058826,21.0,79.0,26.582278481012654,27.0,39.0,69.23076923076923,20.0,29.0,41.0,6.0
UST,12,I. Danting,12.0,73.7,31.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,10.0,18.0,55.55555555555556,3.0,4.0,75.0,7.0,14.0,50.0,4.0,5.0,80.0,17.0,5.0,16.0,7.0
UST,13,B. Bangco,3.0,5.3,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,33.33333333333333,1.0,3.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
UST,14,M. Llemit,12.0,263.9833333333333,95.0,11.0,31.0,42.0,13.0,19.0,11.0,5.0,16.0,32.0,73.0,43.83561643835616,19.0,37.0,51.35135135135135,13.0,36.0,36.11111111111111,18.0,30.0,60.0,39.0,26.0,4.0,7.0
UST,19,K. Buenaflor,10.0,106.11666666666665,36.0,6.0,11.0,17.0,4.0,7.0,3.0,3.0,6.0,13.0,29.0,44.827586206896555,12.0,23.0,52.17391304347826,1.0,6.0,16.666666666666664,9.0,13.0,69.23076923076923,12.0,9.0,-1.0,6.0
UST,20,A. Acido,12.0,206.01666666666668,92.0,20.0,29.0,49.0,13.0,12.0,7.0,1.0,8.0,31.0,78.0,39.743589743589745,15.0,31.0,48.38709677419355,16.0,47.0,34.04255319148936,14.0,20.0,70.0,17.0,12.0,21.0,7.0
UST,25,J. Sevilla,2.0,2.033333333333333,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,1.0,-3.0,2.0
UST,26,C. Manding,3.0,4.116666666666667,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,-7.0,3.0
UST,28,C. Akowe,12.0,435.23333333333335,210.0,59.0,124.0,183.0,16.0,30.0,9.0,22.0,31.0,72.0,135.0,53.333333333333336,72.0,135.0,53.333333333333336,0.0,0.0,0.0,66.0,121.0,54.54545454545454,25.0,97.0,57.0,7.0
UST,33,E. Laure,9.0,23.899999999999995,8.0,3.0,5.0,8.0,0.0,2.0,0.0,0.0,0.0,4.0,7.0,57.14285714285714,4.0,7.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-14.0,5.0
